party,id
Bloc,0
Bloc populaire,1
Canada Party,2
CCF,3
Christian Heritage,4
Commonwealth,5
Communist,6
Conservative,7
Democrat,8
Democrat Advancement,9
Farmer,10
Farmer Labour,11
First Peoples,12
Green,13
Independent,14
Labour,15
Labour Farmer,16
Labour Progressive,17
Liberal,18
Liberal Labour,19
Libertarian,20
Marijuana,21
Marxist Lennist,22
McCarthyite,23
Natural Law,24
NDP,25
Opposition Labour,26
Parti Democratisation,27
Parti Nationaliste,28
Parti Rhinocéros Party,29
Patrons Industry,30
Pirate,31
PPC,32
Progressive,33
Protestant Protective,34
Ralliement,35
Reconstruction party,36
Reform Alliance,37
Social Credit,38
Socialist,39
Socialist Labour,40
Strength Democracy,41
Third Party,42
Union Electors,43
Union Populaire,44
United Farmers,45
Western,46
Western Block,47
