party,id
Abolitionist Party of Canada,0
"Accountability, Competency and Transparency",1
All Canadian Party,2
Alliance of the North,3
Animal Alliance Environment Voters Party of Canada,4
Animal Protection Party of Canada,5
Anti-Communist,6
Anti-Confederate,7
Anti-Conscriptionist,8
Autonomist,9
Bloc populaire canadien,10
Bloc Québécois,11
Canada Party,12
Canada's Fourth Front,13
Canadian Action Party,14
Canadian Alliance,15
Canadian Democrat,16
Canadian Labour,17
Canadian Nationalist Party,18
Canadian Party,19
Candidat libéral des électeurs,20
Candidats des électeurs,21
Capital  familial,22
Centrist Party of Canada,23
Christian Heritage Party of Canada,24
Christian Liberal,25
Co-operative Commonwealth Federation,26
Communist Party of Canada,27
Confederation of Regions Western Party,28
Conservative,29
Conservative Party of Canada,30
Conservative-Labour,31
Cooperative Builders of Canada,32
Democrat,33
Democratic Advancement Party,34
Droit vital personnel,35
Equal Rights,36
Esprit social,37
Farmer,38
Farmer Labour,39
Farmer-United Labour,40
First Peoples National Party of Canada,41
Franc Lib,42
Free Party Canada,43
Green Party of Canada,44
Independent,45
Independent Co-operative Commonwealth Federation,46
Independent Conservative,47
Independent Labor,48
Independent Liberal,49
Independent Liberal Progressive,50
Independent Nationalist,51
Independent Progressive,52
Independent Progressive Conservative,53
Independent Reconstruction Party,54
Independent Social Credit,55
Labor-Progressive Party,56
Labour,57
Labour Farmer,58
Liberal,59
Liberal Conservative Coalition,60
Liberal Labour,61
Liberal Labour Party,62
Liberal Labour Progressive,63
Liberal Party of Canada,64
Liberal Progressive,65
Liberal Protectionist,66
Liberal-Conservative,67
Libertarian Party of Canada,68
Locataire (candidat),69
Marijuana Party,70
Marxist-Leninist Party,71
Marxist-Leninist Party of Canada,72
Maverick Party,73
McCarthyite,74
National Advancement Party of Canada,75
National Citizens Alliance,76
National Citizens Alliance of Canada,77
National Credit Control,78
National Government,79
National Labour,80
National Liberal and Conservative Party,81
National Liberal Progressive,82
National Party of Canada,83
National Socialist,84
National Unity,85
Nationalist,86
Nationalist Conservative,87
Nationalist Liberal,88
Natural Law Party of Canada,89
neorhino.ca,90
New Canada Party,91
New Capitalist Party,92
New Democracy,93
New Democratic Party,94
New Party,95
Newfoundland and Labrador First Party,96
No affiliation to a recognised party,97
Non-Partisan League,98
Online Party of Canada,99
Opposition,100
Opposition-Labour,101
Ouvrier indépendent,102
Parti de la Démocratisation Économique,103
Parti humain familial,104
Parti Nationaliste du Québec,105
Parti ouvrier canadien,106
Parti Patriote,107
Parti Patriote,108
Parti pour l'Indépendance du Québec,109
Parti Rhinocéros,110
Party for the Commonwealth of Canada,111
Patrons of Industry,112
People's Party of Canada,113
People's Party of Canada ,114
People's Political Power Party of Canada,115
Pirate Party of Canada,116
Progressive,117
Progressive Canadian Party,118
Progressive Conservative,119
Progressive Workers Movement,120
Prohibition,121
Protectionist,122
Protestant Protective Association,123
Radical chrétien,124
Ralliement Créditiste,125
Reconstruction Party,126
Reform,127
Reform Party of Canada,128
Republican,129
Republican Party,130
Rhinoceros Party,131
Rhinoceros Party of Canada,132
Seniors Party of Canada,133
Social Credit Party of Canada,134
Social Credit-National Unity,135
Socialist,136
Socialist Labour,137
Stop Climate Change Party,138
Strength in Democracy,139
Technocrat,140
The Bridge Party of Canada,141
Trades Union,142
Union of Electors,143
Union Populaire,144
Unionist,145
Unité nationale,146
United Farmers,147
United Farmers of Alberta,148
United Farmers of Ontario,149
United Farmers of Ontario-Labour,150
United Farmers-Labour,151
United Party of Canada,152
United Progressive,153
United Reform,154
United Reform Movement,155
Unity,156
Unknown,157
Verdun,158
Veterans Coalition Party of Canada,159
Veterans Party,160
Western Block Party,161
Work Less Party,162
